contract_id,category,budget_usd,compliance_history,urgency,contract_duration_days,num_line_items,lead_time_buffer_days,vendor_score,past_disputes,vendor_is_local,previous_contracts,region,delayed
CT-07647,Hardware,44443.36,61,Low,30,7,7,6.7,0,0,19,North America,0
CT-01394,Services,10933.31,71,Low,30,14,35,4.8,1,1,15,Asia,1
CT-00516,Hardware,59444.25,56,High,270,7,9,5.1,2,1,19,Asia,1
CT-01966,Cloud License,6325.43,54,Medium,30,2,13,4.4,0,0,13,North America,0
CT-05241,Services,72098.44,54,Medium,90,12,17,7.1,1,1,6,Asia,1
CT-02296,Software,14161.97,74,High,270,8,19,8.4,2,1,13,LATAM,0
CT-02331,Software,30472.39,67,Low,270,14,44,6.4,1,0,2,LATAM,0
CT-03916,Networking,11065.54,60,Medium,45,13,11,6.9,0,1,14,Europe,1
CT-01979,Services,25264.91,58,Low,30,13,53,4.6,1,0,6,Asia,0
CT-04106,Cloud License,275821.49,95,Low,30,9,26,6.9,0,0,9,LATAM,0
CT-05368,Hardware,41220.95,67,High,120,14,22,9.7,1,0,4,Europe,0
CT-07568,Networking,5469.88,88,Low,30,6,48,7.0,0,1,13,LATAM,0
CT-02160,Cloud License,60270.82,73,High,120,15,48,7.4,0,1,18,Europe,0
CT-01560,Software,16088.58,77,Medium,365,9,36,3.2,0,0,0,Europe,1
CT-01672,Software,166566.95,56,Medium,30,7,13,6.7,3,1,0,Asia,0
CT-01246,Cloud License,500000,87,High,45,7,55,7.6,0,1,8,Asia,0
CT-02791,Cloud License,70664.98,69,Medium,30,6,3,6.4,0,0,0,North America,1
CT-03426,Cloud License,29538.88,25,High,270,9,57,7.5,0,0,5,North America,1
CT-01922,Services,500000,52,High,270,13,48,6.3,0,1,3,North America,1
CT-04410,Services,5085.43,61,Low,30,12,12,3.8,0,0,3,North America,1
CT-04586,Software,9118.03,65,Critical,90,9,8,5.2,3,0,20,LATAM,0
CT-01693,Hardware,500000,85,Low,270,15,53,5.5,3,1,14,Europe,1
CT-07027,Cloud License,8210.35,72,Medium,365,6,54,5.9,1,1,16,North America,0
CT-07511,Software,37204.16,63,High,365,4,3,7.7,0,0,10,Europe,0
CT-01378,Hardware,10986.71,37,Low,30,2,8,6.7,0,0,15,North America,0
CT-05842,Services,298453.02,100,Critical,120,12,25,2.1,0,1,13,North America,1
CT-04091,Services,500000,63,Critical,365,11,29,6.3,0,1,9,North America,1
CT-00382,Services,5123.03,56,Critical,120,13,6,5.3,0,1,8,Europe,1
CT-05466,Hardware,500000,46,Low,45,11,24,8.3,0,1,6,Europe,0
CT-05372,Networking,12898.31,57,Low,120,9,36,2.7,0,1,2,Europe,0
CT-01415,Software,28527.04,83,Medium,60,1,54,5.3,0,0,17,North America,1
CT-06234,Services,9406.77,44,Low,45,6,29,4.5,0,0,11,Asia,1
CT-07277,Services,15596.25,55,Medium,365,15,36,3.2,0,0,2,Europe,1
CT-07472,Networking,10643.63,62,Medium,90,4,26,4.9,0,0,17,LATAM,0
CT-04442,Networking,9269.78,67,Critical,270,14,58,4.6,0,1,7,Europe,0
CT-04854,Software,211582.79,40,Critical,270,9,3,8.8,0,1,6,North America,1
CT-04940,Services,37431.28,49,Medium,30,8,34,5.9,0,0,13,North America,0
CT-07088,Services,37179.37,64,High,30,8,54,7.2,1,0,1,Asia,0
CT-06162,Software,9420.16,88,Medium,30,1,47,6.4,0,1,8,Europe,0
CT-04070,Networking,10635.84,78,Critical,90,8,4,7.6,0,0,0,Asia,0
CT-06714,Hardware,111467.51,53,High,45,12,15,6.2,2,1,16,LATAM,0
CT-01131,Networking,107561.85,87,Medium,365,11,43,5.6,0,0,11,Asia,0
CT-05086,Software,500000,33,Medium,30,15,56,4.2,3,0,16,Asia,1
CT-03647,Networking,23473.64,51,High,30,13,42,7.2,1,1,9,LATAM,1
CT-03196,Hardware,46204.87,62,Medium,45,5,23,7.0,1,1,19,LATAM,0
CT-01642,Software,12184.11,50,High,45,10,25,4.8,0,0,11,North America,0
CT-00761,Networking,3500.15,63,Medium,120,9,25,6.4,0,0,2,Asia,1
CT-01731,Cloud License,60320.5,54,Medium,120,2,56,6.3,0,1,6,North America,0
CT-05872,Hardware,22908.12,86,Critical,270,12,50,3.0,2,0,4,North America,1
CT-04150,Software,145050.27,56,High,30,13,10,6.6,2,0,8,North America,1
CT-01883,Hardware,36519.8,46,Critical,270,4,22,3.7,0,1,16,Europe,1
CT-02485,Services,36203.22,52,Critical,60,13,37,6.5,1,1,9,Europe,1
CT-06558,Services,84533.42,52,Critical,270,13,47,3.6,0,0,5,Europe,0
CT-00150,Services,20441.24,64,Low,120,14,25,6.3,0,0,18,Asia,1
CT-04960,Services,84409.68,78,High,90,7,49,8.7,0,1,20,Asia,0
CT-05809,Hardware,12248.09,37,Medium,60,9,39,3.4,0,0,7,Europe,1
CT-06146,Hardware,9237.92,79,Low,180,11,42,6.3,0,0,20,Europe,0
CT-03409,Software,87703.86,53,Medium,60,2,58,8.0,1,1,7,LATAM,1
CT-06293,Hardware,18155.82,65,Critical,60,15,19,4.5,0,0,6,Asia,1
CT-05956,Networking,52734.57,52,High,90,12,17,5.6,2,0,18,North America,0
CT-06573,Hardware,48790.88,58,Critical,90,14,23,5.8,1,1,6,North America,1
CT-01760,Software,30877.35,77,Low,45,1,60,6.4,2,0,16,North America,0
CT-06888,Services,25338.34,67,Low,180,2,37,2.5,1,1,14,Asia,0
CT-04049,Software,11036.31,49,High,45,4,47,7.7,1,1,2,North America,0
CT-00752,Networking,144665.1,83,Critical,120,13,50,8.3,0,0,7,Europe,0
CT-02244,Software,247320.15,31,Critical,365,15,55,6.7,1,1,7,Europe,0
CT-07376,Networking,53799.87,60,Medium,45,13,46,6.6,0,0,3,LATAM,1
CT-03293,Networking,171161.06,54,Medium,120,3,10,7.7,0,0,20,North America,1
CT-04148,Software,12149.25,54,Medium,270,8,50,4.3,1,0,17,Europe,0
CT-02394,Services,26515.21,88,Critical,120,11,18,4.6,1,1,1,Europe,0
CT-05826,Hardware,25191.85,41,Medium,60,9,50,8.4,0,1,5,Europe,0
CT-00869,Cloud License,4269.66,70,Low,60,15,53,6.9,0,0,10,Asia,0
CT-01053,Software,135583.3,20,High,30,7,42,4.7,1,1,15,North America,1
CT-00507,Networking,500000,29,Critical,365,13,28,8.5,0,1,20,LATAM,0
CT-07390,Hardware,349059.28,84,Critical,120,10,28,6.4,0,0,0,LATAM,1
CT-04191,Cloud License,9277.46,100,Low,90,11,18,7.1,1,0,13,North America,0
CT-06498,Services,137554.93,55,Low,60,14,12,5.9,0,0,3,Asia,0
CT-05825,Services,38741.04,40,Critical,120,6,26,5.7,0,0,9,North America,0
CT-05541,Hardware,65553.41,57,Critical,60,9,59,9.7,0,1,10,LATAM,0
CT-06940,Networking,23646.33,52,Medium,30,1,45,8.2,0,0,13,LATAM,0
CT-00815,Networking,23106.39,59,High,45,12,7,8.1,0,1,3,LATAM,0
CT-00727,Networking,34308.64,57,High,90,15,13,8.5,0,1,19,LATAM,0
CT-00699,Services,49860.45,58,Low,120,15,56,6.4,0,1,2,LATAM,1
CT-02783,Networking,23930.4,41,High,270,4,9,3.5,1,0,6,Asia,1
CT-03842,Networking,7564.7,84,Critical,270,9,24,6.5,1,0,8,North America,1
CT-05866,Services,12947.23,57,Medium,180,13,12,6.8,0,1,0,North America,0
CT-02397,Software,48844.77,26,Medium,30,3,6,4.4,1,1,10,Asia,1
CT-01868,Networking,21692.94,47,Low,90,1,14,8.4,0,0,9,North America,0
CT-05085,Networking,161360.57,92,Critical,180,10,6,5.3,0,0,1,Europe,1
CT-07089,Networking,12645.5,65,High,180,9,4,4.7,1,1,9,Asia,1
CT-05083,Networking,8847.97,53,Low,270,3,25,5.9,2,1,9,Europe,0
CT-05140,Cloud License,51007.67,69,Medium,120,2,30,6.6,1,1,14,Europe,0
CT-05637,Networking,47024.1,58,High,90,1,21,4.8,2,1,10,North America,1
CT-01873,Cloud License,500000,54,Low,45,15,28,8.4,0,0,16,Europe,1
CT-04057,Cloud License,20039.67,20,High,60,5,58,5.9,1,1,7,LATAM,0
CT-04695,Software,119864.04,42,High,60,4,54,7.4,2,1,15,North America,0
CT-04637,Networking,395627.99,68,Medium,90,6,49,5.1,1,0,7,LATAM,1
CT-04743,Cloud License,43743.86,71,High,90,2,49,3.0,0,1,10,North America,0
CT-00218,Networking,11650.05,94,High,270,9,23,7.9,2,0,19,Europe,0
CT-04313,Hardware,78895.86,66,Low,270,4,25,5.5,1,0,5,North America,1
CT-00779,Hardware,138452.78,53,Low,45,3,49,7.2,0,0,8,Europe,0
CT-05407,Services,36653.81,94,High,365,13,4,7.6,0,1,7,North America,1
CT-06916,Networking,12162.97,54,Critical,45,5,9,4.3,1,0,12,Europe,1
CT-01896,Networking,110002.74,73,Medium,90,5,7,7.7,0,0,2,Europe,0
CT-01935,Networking,500000,65,Low,270,10,27,8.4,1,0,9,LATAM,1
CT-03215,Hardware,208653.79,48,Low,45,10,44,5.4,0,1,8,LATAM,1
CT-06616,Cloud License,132622.17,69,Medium,90,3,53,9.2,0,0,5,Europe,0
CT-01723,Services,89353.47,79,Low,365,3,43,4.9,0,1,17,Asia,0
CT-07945,Hardware,8339.37,73,High,30,13,42,4.5,0,0,6,LATAM,1
CT-05157,Hardware,125151.3,41,Low,90,7,6,7.6,0,1,1,Europe,1
CT-05475,Services,49384.39,94,Critical,270,4,55,4.3,1,0,18,LATAM,0
CT-04740,Networking,33875.4,48,Low,45,8,33,4.8,0,0,9,North America,1
CT-03951,Services,105869.1,30,Low,90,3,18,4.2,0,0,7,North America,1
CT-04592,Cloud License,32845.25,45,Medium,270,9,37,8.2,0,1,10,North America,0
CT-02684,Hardware,127877.8,75,High,45,1,43,4.7,1,0,18,Asia,0
CT-07365,Networking,414336.25,64,High,90,7,57,9.4,0,0,20,North America,1
CT-07463,Networking,14580.78,43,High,365,7,34,4.6,1,1,20,LATAM,1
CT-06628,Networking,18358.71,51,Medium,60,15,15,5.4,0,1,7,Asia,1
CT-01177,Services,8572.14,93,Low,60,3,47,5.4,0,0,2,LATAM,0
CT-02788,Hardware,131269.31,70,High,45,11,10,7.6,0,0,14,LATAM,1
CT-00023,Software,30082.46,85,Low,60,13,54,9.9,0,0,5,Europe,0
CT-05935,Software,73019.39,71,Medium,45,7,13,5.8,0,0,17,LATAM,0
CT-04254,Cloud License,26952.06,75,Low,45,8,33,7.9,0,1,9,Europe,0
CT-05354,Software,27424.89,73,Critical,180,8,22,6.6,0,0,20,Europe,1
CT-05003,Hardware,448816.45,75,Critical,180,1,57,7.2,1,0,6,Asia,1
CT-04707,Hardware,100183.82,51,Critical,45,6,29,5.0,0,1,12,Asia,1
CT-01422,Software,119972.82,51,High,45,9,37,6.8,1,1,17,Europe,0
CT-06935,Hardware,19264.73,70,Medium,365,3,29,6.3,0,0,5,North America,1
CT-03118,Software,62807.59,70,Medium,365,2,9,5.4,0,1,11,Asia,0
CT-05879,Services,427127.42,83,High,60,2,41,8.3,0,1,20,North America,0
CT-07823,Networking,97047.37,64,High,30,4,47,4.5,1,1,3,North America,0
CT-02086,Cloud License,160967.33,52,High,45,11,55,6.3,1,1,17,LATAM,0
CT-02463,Software,53673.84,83,Medium,270,3,25,4.2,0,1,3,North America,1
CT-02424,Cloud License,78340.21,64,Critical,365,6,28,5.4,1,0,2,North America,1
CT-05420,Hardware,102088.2,36,Low,30,3,50,4.1,0,1,18,LATAM,1
CT-07272,Hardware,75748.98,37,Medium,60,15,11,6.3,0,1,16,Europe,0
CT-06230,Software,134798.44,69,Medium,60,2,13,6.1,2,0,20,LATAM,1
CT-05558,Hardware,18517.06,74,Medium,365,3,20,6.6,0,0,19,Europe,0
CT-04764,Networking,214446.89,62,Low,45,8,33,6.3,1,0,15,LATAM,1
CT-02740,Networking,107037.55,58,Critical,30,3,15,7.5,1,0,7,Asia,0
CT-04991,Services,71748.9,79,Medium,45,11,31,2.9,0,0,12,Europe,1
CT-00510,Services,68894.51,83,Critical,120,10,35,4.2,1,1,19,North America,0
CT-03223,Software,5634.98,57,Medium,45,4,49,5.2,0,0,16,Asia,0
CT-04014,Hardware,57327.22,37,Low,45,11,12,7.2,1,0,7,Asia,1
CT-01023,Software,55512.26,90,Low,45,4,37,9.3,0,0,17,North America,0
CT-06700,Software,35660.39,34,Low,30,14,39,6.7,0,1,9,North America,0
CT-00255,Networking,189019.44,72,High,30,4,20,6.7,1,0,9,Asia,1
CT-00207,Networking,39367.37,59,High,60,12,30,7.4,1,1,20,LATAM,0
CT-05178,Cloud License,26450.66,65,Medium,45,11,30,4.0,2,0,11,LATAM,1
CT-05088,Hardware,155459.64,60,Critical,180,2,20,6.1,0,0,16,North America,1
CT-05849,Hardware,151755.71,62,Low,120,5,43,6.8,0,1,4,North America,0
CT-06090,Hardware,193423.24,33,High,30,10,44,7.6,0,1,9,North America,0
CT-06734,Software,500000,41,Medium,60,3,11,7.8,0,0,14,Asia,1
CT-06262,Services,110142.18,90,Critical,90,5,16,6.7,1,0,20,Europe,0
CT-05537,Software,34059.96,55,High,90,12,20,6.8,1,0,8,Asia,0
CT-07515,Cloud License,66046.32,50,Critical,90,3,53,6.9,3,1,4,North America,0
CT-05151,Cloud License,58260.11,69,Low,45,2,26,6.5,0,1,15,North America,1
CT-05195,Cloud License,500000,63,Medium,365,5,60,7.5,1,1,9,North America,0
CT-00754,Cloud License,138754.44,80,High,45,15,41,9.0,2,1,4,Europe,0
CT-06907,Services,103165.71,69,Low,60,10,46,8.6,1,0,4,Asia,1
CT-01301,Services,16273.69,31,Critical,120,7,31,5.2,0,0,15,Europe,1
CT-05546,Services,37345.14,50,Medium,45,2,59,6.4,1,1,17,Asia,1
CT-02792,Software,203486.93,31,Low,60,2,22,5.8,2,1,12,Europe,0
CT-03841,Hardware,78621.83,61,Low,365,8,17,5.5,0,1,1,Asia,0
CT-03169,Networking,34942.78,40,Low,45,13,39,5.7,1,0,2,North America,0
CT-02338,Cloud License,10231.54,42,Critical,180,15,40,3.8,0,1,20,Asia,0
CT-06365,Services,71555.19,77,Medium,45,1,28,3.9,0,0,11,LATAM,1
CT-00909,Software,22549.31,71,Critical,180,9,33,6.2,0,0,12,Europe,0
CT-04583,Networking,128805.97,63,Medium,60,4,53,8.0,0,1,13,Asia,0
CT-04881,Networking,67250.57,28,High,90,10,16,4.5,0,0,6,Europe,1
CT-03047,Services,49206.99,81,Medium,45,3,6,5.7,0,0,0,Europe,0
CT-01964,Software,90020.75,68,Medium,270,13,44,5.8,2,0,15,LATAM,1
CT-05721,Networking,11643.82,43,Low,45,7,27,5.1,2,0,20,North America,1
CT-05434,Cloud License,173843.99,80,Critical,270,14,39,6.6,1,1,1,LATAM,1
CT-06092,Hardware,70855.47,44,Low,270,12,29,4.8,0,1,0,LATAM,0
CT-02689,Cloud License,264282.02,34,Medium,60,8,27,6.0,0,1,17,Asia,0
CT-04465,Networking,21684.74,56,Medium,90,15,7,8.0,0,1,16,North America,0
CT-05768,Hardware,14735.25,47,High,90,11,42,5.3,0,0,20,North America,1
CT-06974,Software,28401.62,68,Medium,60,3,10,8.1,2,0,3,Asia,0
CT-03146,Cloud License,89274.78,57,High,60,11,28,5.8,0,1,16,Asia,0
CT-05337,Software,9968.7,100,High,365,11,60,8.6,0,1,7,Europe,0
CT-00310,Services,5357.07,77,Critical,60,1,20,6.6,0,0,8,LATAM,0
CT-05896,Networking,32075.21,36,Medium,90,14,4,6.8,0,0,17,Europe,1
CT-03550,Hardware,4739.85,62,Critical,365,4,56,8.4,0,1,2,North America,0
CT-07367,Networking,15550.42,73,Medium,180,4,43,4.8,0,0,6,LATAM,0
CT-02450,Cloud License,34071.04,40,Low,60,15,3,4.9,0,0,10,North America,1
CT-02626,Networking,10638.97,79,Medium,120,6,32,7.7,0,0,20,North America,0
CT-05193,Networking,51684.81,57,Critical,45,5,41,4.9,0,0,13,Asia,1
CT-07585,Software,78861.21,66,Low,120,3,60,7.9,0,0,19,LATAM,0
CT-06927,Services,19577.45,44,Critical,30,9,56,7.8,2,1,5,LATAM,1
CT-02777,Software,20602.6,45,Critical,90,3,30,4.0,0,0,15,Asia,0
CT-02821,Networking,30630.39,34,Critical,45,13,6,6.4,0,1,20,LATAM,1
CT-01082,Networking,46388.5,51,Low,30,4,36,7.3,0,1,2,LATAM,0
CT-00455,Networking,17331.46,77,High,90,1,4,9.8,2,1,20,Europe,0
CT-05648,Services,27989.64,64,High,180,9,32,4.0,0,0,2,Asia,1
CT-07740,Networking,113912.46,50,High,90,13,47,4.8,0,0,5,Asia,1
CT-03081,Services,98825.48,52,High,30,8,55,8.2,0,0,20,North America,1
CT-07361,Networking,7819.63,52,High,30,7,55,5.7,1,1,1,LATAM,1
CT-05963,Software,15191.8,58,Critical,120,11,19,10.0,0,0,20,North America,0
CT-03909,Networking,100970.37,57,High,270,6,38,8.2,0,1,17,Asia,1
CT-00428,Services,12337.85,58,High,90,9,39,9.5,1,0,6,Europe,0
CT-07104,Hardware,14216.76,83,High,270,4,39,6.5,0,0,0,Asia,0
CT-01981,Cloud License,15145.23,69,Low,270,9,35,4.4,0,0,19,Asia,0
CT-07461,Hardware,37394.51,53,Medium,60,6,17,6.2,0,0,9,Asia,0
CT-06670,Cloud License,51370.69,55,Low,45,8,39,6.0,0,1,5,LATAM,1
CT-06347,Software,18170.79,57,Critical,180,14,15,3.7,1,1,9,LATAM,1
CT-04144,Services,79549.39,51,Critical,270,12,29,10.0,1,1,18,Asia,0
CT-07881,Software,60939.02,39,Medium,180,13,32,7.0,1,1,4,Europe,1
CT-03621,Services,27749.01,48,Medium,270,12,25,7.7,0,0,19,LATAM,0
CT-05005,Networking,270443.25,68,Medium,270,9,54,7.8,0,1,8,Asia,0
CT-00781,Services,11822.19,87,Critical,270,2,53,4.2,0,0,9,Asia,0
CT-01661,Cloud License,20121.75,81,Critical,30,9,53,10.0,1,0,4,LATAM,1
CT-07237,Software,25154.39,37,Low,270,2,30,4.6,0,0,12,North America,1
CT-02102,Software,84399.63,69,Medium,60,5,14,8.1,0,1,1,LATAM,1
CT-04825,Software,84736.78,89,Critical,180,14,45,6.7,0,0,8,Europe,0
CT-03659,Cloud License,26028.34,40,Low,60,7,60,9.6,1,1,13,Europe,0
CT-00617,Cloud License,32739.37,86,Critical,45,8,13,5.2,3,0,9,North America,1
CT-07776,Cloud License,45767.53,63,Low,45,10,44,10.0,1,1,3,LATAM,0
CT-06975,Hardware,28109.48,58,High,270,12,36,5.0,0,0,15,North America,0
CT-07717,Software,31412.05,76,High,30,5,32,4.0,0,1,12,LATAM,1
CT-02375,Networking,19837.01,70,Critical,90,14,18,7.6,2,1,12,Asia,1
CT-00796,Services,18060.47,79,Low,90,15,26,3.9,0,1,18,North America,0
CT-06055,Hardware,67365.74,49,High,120,9,31,9.4,1,1,3,LATAM,0
CT-01571,Networking,8329.32,85,Critical,270,7,26,8.0,1,1,2,North America,0
CT-02712,Hardware,148691.23,76,Critical,270,13,10,7.1,0,0,3,Europe,0
CT-04426,Cloud License,54357.75,42,Low,120,12,30,4.3,1,1,0,Europe,0
CT-06096,Software,69573.64,55,Low,60,5,11,5.9,1,1,2,Asia,0
CT-07311,Software,123023.81,37,Medium,365,4,54,7.2,2,1,2,LATAM,1
CT-02442,Software,17449.05,61,Critical,365,13,35,8.7,0,0,9,Asia,1
CT-07996,Cloud License,120543.45,60,High,180,10,43,7.5,0,0,5,Asia,1
CT-07268,Hardware,462138.4,92,High,365,13,9,5.4,0,0,7,Asia,1
CT-04293,Cloud License,500000,74,Low,45,15,10,7.8,2,1,3,LATAM,1
CT-05174,Software,40475.93,56,Critical,60,14,52,6.6,0,0,6,Europe,1
CT-03389,Hardware,34495.69,83,High,120,2,26,4.9,2,0,13,Europe,1
CT-03055,Software,73576.38,59,Low,120,15,40,6.4,0,0,10,North America,1
CT-06429,Cloud License,19398.38,80,Medium,90,6,8,9.0,1,1,20,North America,0
CT-06425,Networking,109744.31,72,Medium,180,7,23,5.9,1,0,18,Asia,0
CT-04618,Hardware,130021.92,55,Medium,180,3,41,6.7,3,0,15,Asia,1
CT-03920,Hardware,191827.44,70,Low,365,11,31,6.2,0,1,2,Asia,1
CT-01358,Networking,30258.16,78,Critical,180,5,37,10.0,2,1,17,LATAM,1
CT-02156,Cloud License,30065.41,62,Critical,30,4,6,7.4,0,1,19,LATAM,1
CT-01434,Cloud License,54811.48,82,Critical,270,15,51,10.0,0,0,9,Asia,0
CT-01214,Software,16349.54,48,Medium,60,5,16,7.1,2,1,20,Asia,0
CT-01621,Cloud License,33778.68,69,Critical,180,10,12,8.5,0,0,20,North America,0
CT-07979,Software,128063.06,91,Low,60,3,34,6.8,3,1,4,North America,0
CT-00710,Services,7348.53,46,Medium,270,14,30,7.3,1,1,17,LATAM,1
CT-05149,Services,1914.08,68,Medium,365,7,36,4.2,0,1,0,Europe,1
CT-02146,Services,92374.2,58,High,90,8,29,8.3,0,1,0,Europe,0
CT-05487,Networking,53123.68,70,Low,365,10,40,6.4,0,0,8,Europe,0
CT-06385,Cloud License,390076.39,46,Medium,45,8,23,5.7,0,0,1,North America,0
CT-03335,Cloud License,500000,27,Medium,120,12,12,7.2,3,1,5,LATAM,1
CT-04527,Cloud License,193230.66,80,Low,365,10,38,7.2,0,0,10,Europe,0
CT-01684,Services,176938.36,58,High,270,1,54,3.4,0,0,3,Europe,1
CT-06419,Software,179259.57,73,High,180,2,40,4.6,3,1,5,Asia,0
CT-00550,Cloud License,11746.97,36,Medium,120,4,12,4.7,0,1,14,LATAM,0
CT-04853,Hardware,6254.48,43,Critical,90,15,57,7.2,1,0,19,Europe,0
CT-05954,Cloud License,206401.55,75,Medium,60,2,16,4.7,1,0,14,Europe,0
CT-04733,Cloud License,35395.42,57,Low,180,13,57,5.6,0,0,7,Europe,0
CT-05831,Services,165400.94,59,Low,45,8,34,3.5,2,0,16,Europe,1
CT-02551,Services,8749.76,62,Critical,45,3,46,1.8,0,0,20,Asia,1
CT-07984,Services,55067.84,67,High,30,10,23,5.2,0,1,0,North America,0
CT-05375,Software,500000,41,Medium,365,9,49,5.7,1,0,18,North America,1
CT-05646,Services,75278.74,94,Low,120,4,23,7.5,1,1,0,LATAM,0
CT-03171,Services,38992.91,76,Critical,90,8,46,6.6,0,1,7,LATAM,0
CT-03090,Software,500000,13,Low,30,14,23,5.3,2,0,2,Europe,1
CT-06309,Software,93745.94,77,Critical,120,10,5,5.7,0,0,17,North America,0
CT-03422,Hardware,55478.28,49,Medium,60,11,51,9.0,0,1,8,Europe,1
CT-07844,Cloud License,130668.21,19,Medium,180,8,46,6.4,0,0,1,Asia,0
CT-04518,Networking,147292.47,86,Critical,365,4,9,7.1,0,1,7,LATAM,0
CT-00253,Services,103553.93,32,High,120,14,47,4.2,0,0,17,Asia,1
CT-07988,Hardware,10786.86,58,Critical,270,4,48,7.4,0,1,4,Europe,0
CT-00381,Software,5801.37,40,Low,60,15,10,8.6,1,0,14,LATAM,1
CT-05916,Services,30035.36,46,High,180,10,51,7.5,1,0,17,Europe,0
CT-06814,Software,147976.62,65,High,90,7,36,6.2,0,0,1,Asia,1
CT-00565,Hardware,178969.4,83,High,30,10,10,3.0,2,0,7,Europe,1
CT-06985,Networking,265977.99,63,Medium,60,4,21,6.5,0,0,9,Asia,1
CT-02326,Software,70410.38,37,Critical,270,6,24,6.4,0,0,15,Asia,0
CT-02639,Networking,74422.77,71,High,270,7,23,7.7,0,1,15,LATAM,1
CT-03077,Software,34888.01,63,Low,60,5,50,5.6,1,0,17,LATAM,0
CT-05295,Cloud License,218963.52,83,Low,60,9,32,4.4,0,1,11,LATAM,0
CT-02751,Software,500000,41,Critical,90,8,9,10.0,0,1,16,North America,0
CT-02406,Software,12899.76,42,Medium,45,5,44,4.9,1,0,4,North America,1
CT-01020,Software,31939.21,81,Critical,60,5,48,4.2,1,1,18,LATAM,0
CT-00457,Cloud License,24538.45,93,Critical,120,5,50,5.4,0,0,6,LATAM,0
CT-01365,Networking,41766.99,73,Medium,180,6,39,8.8,0,1,12,Europe,0
CT-07347,Software,3760.94,68,Medium,365,15,48,4.6,0,1,7,North America,0
CT-00366,Services,71884.5,83,Medium,365,2,40,5.2,0,0,9,North America,0
CT-06806,Hardware,19021.8,85,High,120,14,53,5.9,2,0,18,Europe,0
CT-05252,Hardware,500000,50,High,60,15,18,6.2,1,1,13,North America,1
CT-02564,Cloud License,8489.02,56,Critical,90,15,17,6.8,0,1,13,North America,0
CT-06214,Software,21504.45,93,Low,45,11,20,5.1,0,1,16,Europe,0
CT-01510,Services,22242.01,80,Critical,180,10,34,5.7,0,0,18,Europe,0
CT-01041,Networking,95390.9,79,Critical,30,4,47,8.2,0,0,15,LATAM,0
CT-04414,Services,37524.93,52,High,30,12,24,6.1,0,0,9,Asia,1
CT-03394,Cloud License,54995.46,56,Low,45,7,55,4.4,2,1,6,LATAM,0
CT-03885,Software,13167.27,61,Critical,180,4,8,4.7,2,1,19,North America,0
CT-07920,Services,86193.44,71,Low,60,11,60,6.6,0,0,14,Europe,0
CT-00633,Software,103927.76,78,Critical,45,8,9,4.9,0,0,9,LATAM,1
CT-04451,Software,43279.78,62,Low,30,12,40,6.8,0,1,13,Asia,1
CT-02418,Networking,161845.36,59,Medium,120,7,43,8.8,0,0,13,Asia,1
CT-07958,Services,104784.42,85,Medium,90,9,23,4.4,1,0,16,LATAM,1
CT-01359,Services,175143.09,50,Critical,90,4,30,5.7,0,0,7,North America,1
CT-05048,Hardware,43256.53,65,Low,365,12,4,6.3,0,1,0,LATAM,1
CT-07391,Networking,8094.23,80,High,45,11,60,7.6,0,0,13,Asia,0
CT-07813,Services,60151.04,52,Low,365,7,4,6.3,1,1,16,North America,1
CT-02988,Networking,57178.81,66,Medium,180,10,22,8.8,1,1,10,Asia,0
CT-05415,Services,19856.68,88,Medium,120,7,23,6.6,1,1,14,North America,0
CT-01385,Cloud License,114830.87,42,Medium,270,9,25,8.3,1,0,15,North America,0
CT-02431,Cloud License,45381.83,53,Critical,180,3,21,3.5,1,1,17,LATAM,1
CT-03566,Services,311095.69,55,Medium,45,10,54,6.7,0,1,12,Europe,0
CT-00300,Services,11597.02,79,High,60,13,21,4.8,0,1,2,Europe,0
CT-05237,Networking,11239.56,100,Medium,60,5,14,5.7,0,1,2,LATAM,0
CT-03051,Cloud License,14555.85,68,Medium,30,3,49,3.4,0,1,5,Asia,0
CT-06046,Cloud License,278555.66,59,Medium,365,10,20,8.5,1,0,13,LATAM,1
CT-05068,Networking,120772.82,75,Low,60,11,10,1.6,0,1,13,Asia,1
CT-06330,Cloud License,42228.13,37,Low,90,8,31,10.0,1,0,5,Europe,0
CT-05331,Hardware,22824.09,61,Critical,180,4,45,6.1,0,0,15,LATAM,1
CT-05311,Software,436939.52,55,Low,45,4,60,7.6,0,0,1,North America,1
CT-05936,Software,28974.03,54,High,30,9,44,6.0,1,0,20,Asia,0
CT-04003,Software,33089.58,70,Medium,120,2,20,8.5,0,0,11,Europe,0
CT-00103,Hardware,14713.66,85,High,270,6,14,4.6,0,0,16,Europe,1
CT-03601,Hardware,44002.26,62,Critical,180,6,36,9.4,0,0,19,LATAM,1
CT-03739,Networking,30865.26,77,High,270,14,42,6.4,0,0,20,North America,1
CT-06553,Software,35341.73,62,Low,90,10,13,8.2,1,0,1,LATAM,1
CT-03376,Software,16250.72,70,Low,60,4,34,3.5,0,0,6,North America,0
CT-03415,Services,76200.73,56,Low,180,1,33,6.0,1,0,18,North America,0
CT-04916,Hardware,27820.8,52,Medium,90,2,43,3.7,0,0,18,North America,1
CT-07969,Software,65334.1,54,Low,45,5,5,4.9,0,1,2,North America,0
CT-05374,Networking,33222.39,59,High,365,5,43,7.7,0,0,19,LATAM,0
